$LOC_BLANK,$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,$<Defective
1,5,4,0,0,8,3,0.17,4,2,3,1,13,1,0,18,0,49.47,4.42,966.99,0.07,46,0.23,53.72,218.72,0.33,2,4,12,0.15,21,25,19,8,20,0,18,1
21,22,18,0,2,8,19,0.3,4,2,19,1,54,1,0,64,1,68.39,20.75,29446.21,0.47,222,0.05,1635.9,1419.09,0.05,2,4,37,0.22,83,139,56,28,88,3.03,64,0
2,13,6,0,3,20,7,0.39,8,2.5,6,0.86,27,1,0,18,0,35.45,11,4288.91,0.13,82,0.09,238.27,389.9,0.14,6,10,22,0.29,32,50,16,11,24,14.29,18,0
1,3,1,0,0,4,2,0.4,2,2,2,1,7,1,0,5,2,9.25,7.2,479.58,0.02,18,0.14,26.64,66.61,0.5,1,2,7,0.29,9,9,5,8,7,0,5,0
4,3,6,0,2,4,2,0.15,2,2,2,1,12,1,0,13,1,46.71,4.07,774.24,0.06,44,0.25,43.01,190.16,0.5,1,2,12,0.1,19,25,14,6,20,13.33,13,0
0,3,0,0,1,4,2,0.2,2,2,1,0.5,7,1,0,10,0,16.37,10.5,1806,0.06,43,0.1,100.33,172,0.5,1,2,7,0.17,21,22,8,8,12,9.09,10,0
2,7,5,0,1,8,4,0.44,2,4,2,0.5,16,4,1,9,0,29.41,7.6,1698.45,0.07,47,0.13,94.36,223.48,1,3,4,14,0.31,19,28,15,12,13,10,9,1
6,13,8,0,4,20,7,0.37,8,2.5,7,1,34,1,0,19,0,55.38,6.67,2461.38,0.12,76,0.15,136.74,369.21,0.14,6,10,29,0.23,35,41,21,8,30,17.39,19,0
1,5,1,0,1,8,3,0.25,4,2,1,0.33,12,1,0,12,0,16.29,15.11,3719.21,0.08,53,0.07,206.62,246.12,0.33,2,4,11,0.2,17,36,9,16,15,7.69,12,0
1,3,1,0,2,4,2,0.22,2,2,2,1,8,1,0,9,1,15.29,7.22,797.67,0.04,26,0.14,44.31,110.45,0.5,1,2,8,0.15,13,13,9,10,13,18.18,9,0
