$LOC_BLANK,$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,$<Defective
3,5,6,0,2,4,3,0.14,2,2,3,1,17,1,0,22,0,39.27,11.45,5152.07,0.15,87,0.09,286.23,449.78,0.33,1,2,16,0.11,36,51,22,14,28,8.33,22,0
3,3,3,0,5,4,2,0.33,2,2,2,1,9,1,0,6,2,19.14,7,937.86,0.04,31,0.14,52.1,133.98,0.5,1,2,9,0.13,14,17,10,10,15,45.45,6,0
1,11,2,0,0,20,6,0.38,10,2,6,1,21,1,0,16,2,40.18,6.59,1743.9,0.09,57,0.15,96.88,264.7,0.17,5,10,17,0.33,28,29,17,8,18,0,16,0
6,6,6,0,5,4,4,0.17,2,2,4,1,17,1,0,24,0,39.16,9.04,3202.49,0.12,67,0.11,177.92,354.12,0.25,1,2,15,0.11,26,41,23,16,36,17.24,24,0
1,5,4,0,0,8,3,0.27,4,2,3,1,13,1,0,11,0,31.66,6.43,1308.6,0.07,45,0.16,72.7,203.56,0.33,2,4,12,0.23,20,25,14,9,13,0,11,0
18,7,9,0,13,12,4,0.08,6,2,3,0.75,37,1,0,51,0,85.54,30.74,80809.25,0.88,405,0.03,4489.4,2629.2,0.25,3,6,35,0.05,190,215,68,22,83,20.31,51,0
1,3,0,0,0,4,2,0.4,2,2,1,0.5,6,1,0,5,0,16,6.5,676,0.03,26,0.15,37.56,104,0.5,1,2,6,0.29,13,13,8,8,7,0,5,0
13,9,7,0,17,16,5,0.12,8,2,5,1,28,1,0,43,0,69.49,14.01,13645.26,0.32,170,0.07,758.07,973.75,0.2,4,8,25,0.07,71,99,38,15,74,28.33,43,1
5,3,3,0,3,4,2,0.1,2,2,2,1,7,1,0,21,2,35.54,10.17,3679.85,0.12,73,0.1,204.44,361.66,0.5,1,2,7,0.07,37,36,20,11,30,12.5,21,0
3,8,5,0,0,8,5,0.25,4,2,5,1,17,1,0,20,0,31.91,7.6,1842.99,0.08,51,0.13,102.39,242.5,0.2,2,4,14,0.21,19,32,15,12,24,0,20,0
