$LOC_BLANK,$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,$<Defective
1,1,1,0,0,0,1,0.25,0,0,1,1,2,1,0,4,0,8.54,4.67,186.03,0.01,12,0.21,10.33,39.86,1,0,0,3,0.14,4,8,3,7,7,0,4,0
1,7,2,0,0,0,4,0.5,0,0,3,0.75,16,1,0,8,0,17.15,11.92,2435.45,0.07,50,0.08,135.3,204.37,0.25,0,0,14,0.27,13,37,6,11,15,0,8,0
0,5,0,0,0,0,3,0.6,0,0,1,0.33,7,3,1,5,1,13.11,4.8,301.96,0.02,17,0.21,16.78,62.91,1,0,0,6,0.5,6,11,5,8,6,0,5,0
20,15,1,0,14,28,8,0.22,14,2,5,0.63,31,1,0,36,0,29.49,29.8,26179.43,0.29,164,0.03,1454.41,878.64,0.13,7,14,25,0.11,69,95,22,19,72,28,36,0
2,1,0,0,0,0,1,0.33,0,0,1,1,1,1,0,3,0,14.34,3.5,175.66,0.02,14,0.29,9.76,50.19,1,0,0,2,0.04,5,9,5,7,23,0,3,0
1,1,1,0,5,0,1,0.14,0,0,1,1,4,1,0,7,0,14.02,9.75,1333.23,0.05,35,0.1,74.07,136.74,1,0,0,5,0.07,13,22,6,9,15,41.67,7,0
5,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,2,0.13,0,1,0,1,8,0,1,0
13,19,4,1,17,32,10,0.26,12,2,6,0.6,45,8,0,37,3,64.06,30.39,59183.26,0.65,331,0.03,3287.96,1947.15,0.8,10,16,37,0.14,110,221,38,21,71,32.72,38,0
11,9,3,6,11,16,5,0.11,8,2,4,0.8,23,1,0,40,1,32.18,22.75,16658.75,0.24,154,0.04,925.49,732.25,0.2,4,8,20,0.07,49,105,14,13,70,29.82,46,1
12,55,12,2,3,0,34,0.4,0,0,15,0.44,121,17,0,84,2,49.42,59.29,173747.07,0.98,445,0.02,9652.62,2930.31,0.5,0,0,89,0.33,181,264,58,38,102,5.62,86,0
